,DOI
79,10.3389/fvets.2021.653129
80,10.1111/jbg.12545
81,10.1016/j.jpaa.2021.106711
82,10.3390/logistics5010015
83,10.4208/csiam-am.2020-0031
84,10.1353/ecs.2021.0038
85,10.1016/j.coche.2021.100672
86,10.1038/s41598-020-80820-1
87,10.1016/j.landusepol.2020.105157
88,10.34133/2021/9834746
89,10.1515/spma-2020-0114
90,10.1002/tesq.3095
91,10.1371/journal.pone.0260973
92,10.1007/s40870-021-00324-5
93,10.1364/OE.441213
94,10.1061/(ASCE)BE.1943-5592.0001736
95,10.1093/gbe/evab191
96,10.3389/feart.2021.710131
97,10.1371/journal.pone.0252402
98,10.1021/acs.energyfuels.1c00490
99,10.1016/j.ufug.2021.127183
100,10.1021/acs.orglett.1c00940
101,10.3791/62395
102,10.5406/jaesteduc.55.1.0072
103,10.1016/j.cvsm.2020.09.010
104,10.1137/20M1345840
105,10.1080/08821127.2021.1982621
106,10.1007/s10460-021-10266-2
107,
108,10.1016/j.cej.2021.131882
109,10.1016/j.aca.2021.338900
110,10.3390/nano11081869
111,10.3389/fsufs.2021.669571
112,10.1021/acssuschemeng.1c02931
113,10.1093/jipm/pmab021
114,10.1016/j.lwt.2021.112051
115,10.3847/1538-4357/abff4c
116,10.1016/j.nbd.2021.105410
117,10.3389/fvets.2021.688457
118,10.3390/ijerph18115730
119,10.3934/cpaa.2021093
120,10.1093/plphys/kiab110
121,10.3390/ani11020396
122,10.1093/poq/nfaa029
123,10.3389/fmolb.2020.615614
124,10.13031/aea.14534
125,10.1016/j.reactfunctpolym.2020.104759
126,10.1109/TIM.2021.3118080
127,10.1016/j.compstruc.2021.106706
128,10.1109/TPWRS.2021.3074614
129,10.3390/catal11111302
130,10.1017/S0272263121000292
131,10.1016/j.cobme.2021.100322
132,10.1126/sciadv.abi8215
133,10.1371/journal.pone.0249103
134,10.1371/journal.pone.0252127
135,10.1007/s11747-021-00788-w
136,10.3996/JFWM-20-046
137,10.47037/2020.ACES.J.360624
138,10.3389/fpsyg.2021.653031
139,10.1016/j.jcp.2021.110357
140,10.1016/j.corsci.2021.109496
141,10.1007/s11229-017-1452-6
142,10.3390/agriculture11030259
143,10.1177/1040638721996691
144,10.1038/s41598-021-82261-w
145,10.1002/prot.26050
146,10.1109/TMAG.2020.3034208
147,10.1039/d0lc01006e
148,10.1007/s10566-020-09596-9
149,
150,10.1002/csc2.20322
151,10.1016/j.coldregions.2020.103196
152,10.1016/j.lwt.2020.110353
153,10.1093/tas/txab188
154,10.1109/JSEN.2021.3117573
155,10.7120/09627286.30.4.004
156,
157,10.1093/jas/skab252
158,10.3389/fgene.2021.722981
159,10.1038/s41598-021-95284-0
160,10.3390/sym13081382
161,10.1016/j.wear.2021.203729
162,10.1039/d1lc00259g
163,10.1002/cbic.202100217
164,10.1039/d1an00778e
165,10.1016/j.engstruct.2021.112014
166,10.1016/j.eswa.2020.114072
167,10.1103/PhysRevD.103.033005
168,10.1002/sam.11500
169,10.1063/5.0034936
170,10.1080/0013791X.2021.2017094
171,10.1094/MPMI-06-21-0149-R
172,10.1021/acs.jcim.1c00516
173,10.1177/03009858211048622
174,10.1007/s40962-021-00693-6
175,10.1108/EC-11-2020-0650
176,10.1016/j.ijimpeng.2021.103969
177,10.1007/s10035-021-01122-5
178,10.3138/jvme.2019-0136
179,10.1002/celc.202100662
180,10.1115/1.4049556
181,
182,10.1111/pce.14063
183,10.3390/atmos12050585
184,10.1016/j.engstruct.2020.111590
185,10.1016/j.expthermflusci.2020.110282
186,10.1016/j.orl.2021.01.011
187,10.1016/j.jobe.2020.101956
188,10.3390/nu13010217
189,10.1186/s13015-021-00201-9
190,10.1109/TIT.2021.3112805
191,10.3996/JFWM-20-068
192,10.1039/d1tc03520g
193,10.1016/j.cagd.2021.102038
194,10.1088/1361-6501/abf805
195,10.1186/s12711-021-00647-w
196,10.1103/PhysRevB.103.214304
197,10.1016/j.polymdegradstab.2021.109627
198,10.1557/s43578-021-00218-1
199,10.7717/peerj-cs.359
200,10.1016/j.cvfa.2020.11.002
201,10.1016/j.wdp.2021.100298
202,10.3389/fmicb.2020.625286
203,10.1109/TIM.2021.3113118
204,10.1016/j.rechem.2021.100219
205,10.1128/IAI.00542-20
206,10.1109/TED.2021.3131115
207,10.1093/jee/toab218
208,10.1073/pnas.2112108118j1of8
209,10.1109/TPWRS.2021.3069781
210,
211,10.1016/j.jcbs.2021.09.006
212,10.1002/aisy.202100099
213,10.1021/acsnano.1c04230
214,10.1111/flan.12569
215,10.3389/fpls.2021.709008
216,10.1177/03611981211020004
217,10.1016/j.ijdrr.2021.102439
218,10.1021/acsami.0c22305
219,
220,10.1016/j.sleh.2020.12.002
221,10.1002/anie.202102148
222,10.1038/s41598-021-83770-4
223,10.1080/01621459.2020.1850461
224,10.1016/j.indmarman.2020.11.002
225,10.3390/microorganisms9010141
226,10.1088/1478-3975/abc5ad
227,10.13031/jash.14450
228,10.1109/TPWRS.2021.3081608
229,10.1002/nafm.10705
230,10.1111/ruso.12416
231,10.3389/fncel.2021.772868
232,10.3996/JFWM-20-075
233,10.1073/pnas.1914085117
234,10.1016/j.addma.2021.101929
235,10.1016/j.jfluidstructs.2021.103229
236,10.1016/j.tcs.2021.02.025
237,10.1016/j.bios.2021.113179
238,10.1016/j.bbrep.2020.100884
239,10.3390/polym13050749
240,10.1007/s13253-021-00443-5
241,10.1007/s40263-020-00787-5
242,10.1063/9.0000104
243,
244,10.1146/annurev-anchem-090420-101138
245,10.1109/ACCESS.2021.3082499
246,10.13031/trans.13995
247,10.21091/mppa.2021.4025
248,10.1093/tas/txab218
249,10.1002/nafm.10687
250,10.1007/s00024-021-02832-w
251,10.1002/suco.202100223
252,10.1080/09608788.2021.1952928
253,10.1016/j.foodchem.2021.130301
254,10.1007/s11031-021-09895-1
255,10.3390/fermentation7020082
256,10.1093/biolre/ioab069
257,10.1177/2167696818824186
258,10.1016/j.soilbio.2021.108228
259,10.1037/rel0000411
260,10.3390/logistics5010004
261,10.1175/WAF-D-20-0137.1
262,10.1177/1937586720988616
263,10.13031/aea.14411
264,10.1021/acs.analchem.1c03633
265,10.1109/TPWRS.2021.3074898
266,10.1139/cjfas-2020-0442
267,10.1177/0192513X211050063
268,10.1103/PhysRevC.104.034903
269,10.1016/j.jspr.2021.101875
270,10.1016/j.jweia.2021.104727
271,10.1021/acs.jchemed.1c00447
272,10.1016/j.bej.2021.108026
273,10.1038/s41598-021-86549-9
274,10.1021/acscatal.1c00371
275,10.1093/g3journal/jkab080
276,10.1016/j.ijhm.2021.102888
277,10.1002/cche.10400
278,10.1017/S1742170519000292
279,10.1021/acssensors.0c01912
280,10.1016/j.spl.2021.109039
281,10.1063/9.0000046
282,10.1021/acscatal.1c04074
283,10.1353/nyh.2021.0037
284,
285,10.1080/10570314.2021.1995622
286,10.3389/fpls.2021.732216
287,10.22004/ag.econ.304769
288,10.1016/j.msec.2021.112370
289,10.1002/csc2.20577
290,10.1021/acssuschemeng.1c02267
291,10.1007/s10708-020-10137-z
292,10.3138/jvme-2020-0122
293,10.1016/j.proci.2020.07.075
294,10.3389/fvets.2021.629627
295,10.1007/s00418-021-01978-x
296,10.3389/fpls.2021.640277
297,10.1007/s00216-021-03216-8
298,10.3390/infrastructures6020028
299,10.1007/s00158-020-02831-w
300,10.1017/S0031819120000297
301,10.1016/j.placenta.2020.10.029
302,10.1016/j.envsoft.2021.105241
303,10.1007/s10639-021-10786-8
304,10.1016/j.fuproc.2021.107068
305,10.1016/j.actamat.2021.117348
306,10.1021/acsabm.1c00489
307,10.1093/jrs/feab015
308,10.3390/molecules26164923
309,10.1021/acs.energyfuels.1c01207
310,10.3390/atmos12070825
311,10.1177/14767503211023127
312,10.1016/j.jad.2021.05.070
313,10.1007/s10915-021-01503-1
314,10.1111/ajae.12233
315,10.1080/13683500.2021.1920003
316,10.3389/fcomm.2021.628780
317,10.1037/dhe0000157
318,10.1007/s10482-021-01541-7
319,10.1016/j.ast.2021.106555
320,10.1016/j.msec.2021.111915
321,10.1109/TMAG.2020.3017565
322,10.3791/62277
323,10.1063/9.0000210
324,10.1080/00031305.2020.1858963
325,10.1016/j.nuclphysa.2020.121933
326,10.1002/alz.058743
327,10.1073/pnas.2111461118
328,10.1128/Spectrum.01243-21
329,10.1371/journal.pone.0257601
330,10.3389/fpls.2021.701192
331,10.1002/sam.11546
332,10.1016/j.psj.2021.101369
333,10.1021/acs.inorgchem.1c00912
334,10.1111/1365-2435.13895
335,10.3389/fvets.2021.692199
336,10.1177/0887302X211027500
337,10.1016/j.cpc.2021.108072
338,10.3791/62701
339,10.3389/fnut.2021.652192
340,10.1109/JAS.2021.1003964
341,10.3390/md19050282
342,10.3390/rs13091742
343,10.1093/genetics/iyab062
344,10.1016/j.compositesb.2021.108806
345,10.1177/08862605211005150
346,10.3390/agronomy11040611
347,10.1109/TSE.2019.2893207
348,10.1186/s40104-020-00527-1
349,10.1021/jacs.0c11566
350,10.1094/PHP-02-21-0040-FI
351,10.1080/08965803.2021.2011557
352,10.1038/s41598-021-99545-w
353,10.1016/j.bios.2021.113707
354,10.1177/09636625211049531
355,10.1016/j.measurement.2021.110207
356,10.2514/1.G006182
357,10.1177/03611981211036365
358,10.1017/S0963548321000353
359,10.2489/jSWC.2021.00166
360,10.1007/s00500-021-05995-9
361,10.3390/ani11072007
362,10.1109/JOE.2020.3016073
363,10.1016/j.cemconres.2021.106524
364,10.1016/j.jmbbm.2021.104513
365,10.1039/d1ra01622a
366,10.1371/journal.pone.0247147
367,10.1177/03611981211007481
368,10.1016/j.finel.2021.103563
369,10.1016/j.cemconres.2021.106417
370,10.1002/nafm.10523
371,10.1002/eap.2295
372,10.1021/acs.jchemed.0c01268
373,10.1061/(ASCE)CF.1943-5509.0001528
374,10.1016/j.foodhyd.2020.106262
375,10.1017/S0144686X19000990
376,10.1016/j.marpolbul.2020.111926
377,10.3138/jvme.1018-121r1
378,10.1093/jssam/smz046
379,10.1371/journal.pone.0244795
380,10.1109/ACCESS.2021.3052478
381,10.1063/9.0000196
382,10.13031/aea.14399
383,10.1017/S0265052522000036
384,10.1007/s11047-021-09877-9
385,10.1016/j.expthermflusci.2021.110514
386,10.1016/j.evolhumbehav.2021.03.008
387,10.1061/(ASCE)BE.1943-5592.0001732
388,10.1038/s41598-021-90835-x
389,10.3390/inventions6020029
390,10.1002/nafm.10616
391,10.1038/s41598-021-90325-0
392,10.1111/acer.14592
393,10.1093/nar/gkab163
394,10.1177/1040638721995782
395,10.1002/aepp.13115
396,10.1016/j.cemconcomp.2021.103969
397,10.1080/15434303.2020.1866576
398,10.1007/978-1-0716-1134-0_13
399,10.1093/jn/nxab298
400,10.1109/JSEN.2021.3113303
401,10.1111/1365-2664.14061
402,10.1016/j.rineng.2021.100290
403,10.1007/s10457-021-00686-8
404,10.3390/su132011368
405,10.1016/j.conbuildmat.2021.124898
406,10.1075/jsls.21006.yam
407,10.1002/aic.17389
408,10.1111/fme.12492
409,10.1016/j.jclepro.2021.128173
410,10.1093/jas/skab164
411,10.1111/vde.12997
412,10.1007/s10755-021-09558-6
413,10.3390/ani11051289
414,10.1002/nafm.10587
415,10.1016/j.rser.2021.111098
416,10.1016/j.compositesb.2021.108836
417,10.1016/j.jslw.2021.100816
418,10.1016/j.engstruct.2020.111847
419,10.1007/s40962-020-00566-4
420,10.1039/d0sc05338d
421,
422,10.34133/2021/9805489
423,10.1021/acsaem.1c01809
424,10.1111/biom.13552
425,10.1093/jas/skab163
426,10.1088/1361-665X/ac01a9
427,10.3390/nu13061932
428,10.3791/62728
429,10.1007/s00184-021-00812-7
430,10.1214/20-AOAS1388
431,10.1002/hfm.20888
432,10.1017/S0022109021000120
433,10.1007/s10566-019-09507-7
434,10.1016/j.prevetmed.2020.105233
435,10.1016/j.apcatb.2021.119904
436,10.1386/ijia_00033_1
437,10.3390/atmos12010007
438,10.1371/journal.pone.0255085
439,10.1002/tpg2.20160
440,10.1016/j.chroma.2021.462588
441,10.3390/microorganisms9102023
442,10.1123/jpah.2021-0013
443,10.1016/j.ast.2021.107090
444,10.1002/adom.202101147
445,10.1109/TIT.2021.3095909
446,10.3389/fmolb.2021.733148
447,10.1109/TSG.2021.3088006
448,10.1080/09614524.2021.1937558
449,10.1289/EHP7877
450,10.1038/s41598-021-93911-4
451,10.1186/s12958-021-00791-4
452,10.1021/acs.joc.1c00658
453,
454,10.1080/07060661.2021.1881162
455,10.24908/ijesjp.v8i1.14211
456,10.1021/acs.joc.0c02556
457,10.1093/bioinformatics/btab090
458,10.1016/j.psj.2020.10.052
459,10.1021/acssuschemeng.0c06108
460,
461,10.1109/TIM.2020.3026122
462,10.1371/journal.pone.0255543
463,10.1021/acs.orglett.1c04073
464,10.1007/s13278-021-00763-x
465,10.1128/mSphere.00820-21
466,10.1007/s11947-021-02719-7
467,10.1093/jas/skab278
468,10.17239/jowr-2021.13.02.02
469,10.1111/oik.08323
470,10.1111/tpj.15481
471,10.1128/mSphere.00698-21
472,
473,10.1037/tep0000333
474,10.3828/extr.2021.7
475,10.1080/10429247.2021.1922220
476,10.1016/j.theriogenology.2021.04.003
477,10.1021/acs.analchem.0c05355
478,10.1016/j.aim.2021.107626
479,10.3389/fcell.2021.627976
480,10.1021/acs.joc.0c02519
481,10.1016/j.ohx.2021.e00249
482,
483,10.1061/(ASCE)GM.1943-5622.0002173
484,10.1016/j.conbuildmat.2021.125253
485,10.1111/ajae.12262
486,10.1016/j.engstruct.2021.113159
487,10.1007/s10682-021-10132-x
488,10.3389/fnagi.2021.661505
489,10.1177/03611981211011481
490,10.1093/jas/skab111
491,10.1080/10758216.2021.1894176
492,10.1177/1040638721999373
493,10.3366/nfs.2021.0306
494,10.3389/fnbeh.2021.639790
495,10.1037/xlm0000996
496,10.1007/s11423-020-09901-2
497,10.1016/j.nuclphysa.2020.121860
498,10.1002/sam.11566
499,10.1093/g3journal/jkab381
500,10.1080/0969594X.2021.1976106
501,10.1126/sciadv.abj1691
502,10.1016/j.bios.2021.113533
503,10.1007/s10670-019-00127-0
504,10.1002/ieam.4402
505,10.1111/jfpe.13720
506,10.2308/ISSUES-19-113
507,10.1177/0300985821996657
508,10.1103/PhysRevB.103.134435
509,10.1016/j.cad.2021.103031
510,10.1186/s12917-021-02870-5
511,10.3389/fmicb.2021.625400
512,10.1109/JRFID.2020.3034483
513,10.1093/imrn/rnaa381
514,10.1080/10668926.2021.1877215
515,10.3389/fvets.2021.763972
516,10.1016/j.cscm.2021.e00788
517,10.1177/23294884211056558
518,10.1039/d1gc03315h
519,10.3389/fdata.2021.706117
520,10.1016/j.engstruct.2021.112837
521,10.1055/a-1648-7074
522,10.1145/3460948
523,10.3390/agronomy11091785
524,10.1177/00938548211040850
525,10.3389/fimmu.2021.680020
526,10.1186/s12917-021-02978-8
527,10.3390/ijms22168378
528,10.1111/vco.12753
529,10.1037/gdn0000154
530,10.1016/j.jneb.2021.04.459
531,10.3934/dcds.2021098
532,10.3390/land10040372
533,10.1109/TMAG.2020.3006459
534,10.1080/14680629.2020.1868327
535,10.1109/TIM.2021.3076854
536,10.13031/aea.14547
537,10.1016/j.conbuildmat.2021.125435
538,10.1016/j.nuclphysa.2021.122308
539,10.1038/s41598-021-97221-7
540,10.1109/MCE.2020.3035908
541,10.1108/RPJ-06-2020-0142
542,10.1080/1061186X.2021.1941059
543,10.1016/j.fishres.2021.106029
544,10.1016/j.agwat.2021.107002
545,10.1093/nargab/lqab049
546,10.3389/fbioe.2021.659609
547,10.1103/PhysRevLett.126.177201
548,10.1021/acs.joc.1c00087
549,10.1016/j.virol.2021.02.014
550,10.3389/fmicb.2021.653155
551,10.1016/j.cvfa.2020.11.001
552,10.1089/fpd.2020.2873
553,10.1016/j.jnoncrysol.2020.120493
554,10.1016/j.paid.2020.110373
555,10.1558/cj.20159
556,10.1088/1361-6501/ac1b41
557,10.3934/dcds.2021076
558,10.1109/TIE.2020.3037989
559,10.1111/1750-3841.15928
560,10.1037/dhe0000351
561,10.3390/microorganisms9102162
562,10.1016/j.euromechsol.2021.104419
563,10.1016/j.erss.2021.102283
564,10.1007/s10915-021-01560-6
565,10.1111/jbl.12289
566,10.1016/j.fcr.2021.108260
567,10.1039/d1cp02301b
568,10.1016/j.wear.2021.203662
569,10.1007/s11334-021-00407-5
570,10.1016/j.wasman.2021.06.031
571,10.1016/j.algal.2021.102397
572,10.1002/celc.202100523
573,10.1557/s43578-021-00269-4
574,10.3390/asi4020039
575,10.1021/acsapm.1c00299
576,10.1016/j.jweia.2021.104586
577,10.3389/fmicb.2021.518791
578,10.1093/jas/skab001
579,10.1007/s00024-021-02702-5
580,10.1080/15470148.2020.1870185
581,10.1021/acs.analchem.0c03732
582,10.1007/s00170-021-06858-1
583,10.1007/s00211-021-01183-x
584,10.1016/j.jmbbm.2021.104345
585,10.1089/3dp.2020.0012
586,10.1016/j.petrol.2020.108334
587,10.1111/gequ.12159
588,
589,10.1016/j.jnoncrysol.2020.120462
590,
591,10.1287/ijoc.2019.0908
592,10.1093/nar/gkab1116
593,10.3390/v13091859
594,10.1109/TSG.2021.3088010
595,10.1152/ajpcell.00544.2020
596,10.1016/j.wear.2021.203855
597,10.1016/j.msec.2021.112303
598,10.1021/acsami.1c04476
599,10.1083/jcb.202008079
600,10.1111/2041-210X.13625
601,10.1057/s41311-021-00285-5
602,10.1016/j.cej.2020.127020
603,10.1016/j.ijmultiphaseflow.2020.103533
604,10.1016/j.phytochem.2021.112672
605,
606,10.1109/ACCESS.2021.3118105
607,10.1109/TIM.2021.3062193
608,10.3390/foods10010089
609,10.1021/acs.macromol.1c00651
610,10.1038/s41598-021-83634-x
611,10.1177/0361198120957319
612,10.1016/j.engappai.2021.104483
613,10.1186/s13567-021-00958-2
614,10.1128/MRA.00448-21
615,10.1094/PDIS-05-20-0964-RE
616,
617,10.1111/vsu.13656
618,10.1094/PHYTO-03-21-0093-R
619,10.1016/j.prevetmed.2021.105270
620,10.1002/agg2.20133
621,10.1016/j.cemconcomp.2021.104243
622,10.1111/tbed.14084
623,10.1007/s00348-021-03187-7
624,10.1177/0306624X21992681
625,10.3389/fbioe.2021.716634
626,10.1093/tas/txab080
627,10.1061/(ASCE)CR.1943-5495.0000235
628,10.1007/s10646-020-02326-w
629,10.1016/j.cvsm.2021.08.002
630,10.1039/d1gc02225c
631,10.1109/TSG.2020.3025509
632,10.1515/ijcre-2019-0229
633,10.1038/s41420-021-00781-w
634,10.1016/j.avb.2020.101521
635,10.3389/fimmu.2021.637982
636,
637,10.1016/j.jmapro.2021.04.003
638,10.1038/s41598-021-85367-3
639,
640,10.1093/tas/txab159
641,10.2489/jswc.2021.0827A
642,
643,
644,10.4018/IJCALLT.2021100102
645,10.3389/fvets.2021.628410
646,10.3390/antibiotics10020221
647,10.1016/j.fuel.2020.119071
648,
649,10.3390/agronomy11071288
650,10.1093/jas/skab159
651,10.3389/fmicb.2021.619970
652,10.3389/fvets.2021.640751
653,10.1371/journal.pone.0246144
654,10.1111/tbed.14327
655,10.1039/d1gc02420e
656,10.1093/bib/bbaa351
657,10.1186/s12711-020-00589-9
658,10.14359/51733106
659,10.1093/jas/skab300
660,10.1002/jwmg.22096
661,10.1061/(ASCE)ME.1943-5479.0000889
662,10.1016/j.ijpe.2021.108040
663,10.1016/j.tifs.2021.05.038
664,10.1007/s10389-021-01552-8
665,10.1186/s12711-021-00630-5
666,10.3389/fpsyg.2021.553015
667,10.1016/j.ymssp.2021.108201
668,10.1002/anie.202101795
669,10.1002/tafs.10295
670,10.1177/03009858211025794
671,10.1002/tpg2.20155
672,10.3389/fgene.2021.675500
673,10.1108/AFR-11-2020-0163
674,10.1016/j.jhazmat.2020.124284
675,10.1108/JCP-07-2021-0033
676,10.1061/(ASCE)EY.1943-7897.0000760
677,10.3390/jmse9060625
678,10.3390/ijgi10030108
679,10.3389/fpls.2021.773419
680,10.1021/acsapm.1c00889
681,10.1016/j.compag.2021.106301
682,10.3390/separations8020015
683,10.1186/s13007-021-00754-1
684,10.1029/2020GB006781
685,10.1002/anie.202013489
686,10.3390/infrastructures6020018
687,10.3390/ani11092665
688,10.1177/01939459211030338
689,10.1007/s00348-021-03341-1
690,10.1093/tas/txab034
691,10.3389/fvets.2021.637988
692,10.1039/d0mh01832e
693,10.1039/d1re00265a
694,10.1111/deci.12522
695,10.1371/journal.pone.0251884
696,10.1186/s12864-021-07578-2
697,10.1016/j.ygcen.2021.113758
698,10.1007/s11002-021-09560-0
699,10.1094/PDIS-06-20-1389-SC
700,10.1016/j.jevs.2020.103360
701,10.1016/j.ecresq.2020.08.005
702,10.1007/978-3-030-51652-9_5
703,10.1109/THMS.2021.3114144
704,10.1021/acs.jafc.1c03330
705,10.1145/3446637
706,10.1093/jas/skab155
707,10.1093/jas/skab145
708,10.1109/TCSII.2021.3068628
709,10.1094/PDIS-04-20-0824-SC
710,10.1142/S0219498821400107
711,10.1515/znb-2021-0137
712,10.1137/20M1387274
713,10.5851/kosfa.2021.e19
714,10.1016/j.forsciint.2021.111126
715,10.3389/fvets.2021.782872
716,10.1063/5.0061754
717,10.1016/j.jcsr.2021.106590
718,10.1002/hlca.202000209
719,10.1016/j.asw.2021.100523
720,10.1016/j.prevetmed.2020.105250
721,10.1093/jn/nxaa356
722,10.1039/d0nh00376j
723,10.1093/biolre/ioab178
724,10.3390/en14206479
725,10.3390/agriculture11060568
726,10.1016/j.expneurol.2021.113716
727,10.1371/journal.pcbi.1008890
728,10.1016/j.virol.2021.03.014
729,10.1109/TITS.2020.3048360
730,10.1002/jbm.b.34922
731,10.1021/acs.jchemed.1c00565
732,10.1016/j.engstruct.2021.112447
733,10.1080/08123985.2021.1900723
734,10.3389/fvets.2021.644074
735,10.1016/j.sna.2021.112626
736,10.1007/s13592-020-00829-3
737,10.1016/j.vetmic.2021.109240
738,10.2514/1.I010973
739,10.21769/BioProtoc.4100
740,10.1016/j.jevs.2021.103671
741,10.1089/crispr.2020.0093
742,10.1128/JVI.02335-20
743,10.1177/1469540521990858
744,10.1103/PhysRevE.104.064113
745,10.3389/fcomm.2021.639390
746,10.1016/j.jbusvent.2021.106140
747,10.1103/PhysRevE.104.014135
748,10.1177/10406387211033293
749,10.1002/cphc.202100290
750,10.1080/00207543.2021.1934745
751,10.1016/j.jpaa.2020.106539
752,10.1177/1468087421992888
753,10.1002/prot.26058
754,10.1016/S1872-2067(21)63804-4
755,10.1364/JOSAB.430593
756,10.1103/PhysRevB.104.L081113
757,10.1214/20-STS805
758,10.3389/fmolb.2021.699203
759,10.1016/j.jspr.2021.101849
760,10.3934/cpaa.2021084
761,10.1007/s11665-021-05861-7
762,10.1016/j.vetmic.2020.108958
763,10.1016/j.ultras.2021.106359
764,10.1016/j.renene.2020.12.014
765,10.1002/cjs.11586
766,10.1109/TIFS.2021.3118887
767,10.1177/15385132211047520
768,10.1021/acs.jpca.1c06186
769,10.1089/cmb.2021.0011
770,10.1016/j.applthermaleng.2021.116850
771,10.1109/TIM.2021.3051666
772,10.1109/TSG.2020.3023307
773,10.1111/nph.17904
774,10.1021/acs.jctc.1c00705
775,10.1093/tas/txab093
776,10.1177/00405175211013421
777,10.3390/inorganics9050035
778,10.1002/jez.2564
779,10.3389/fmed.2021.663212
780,10.1080/19371918.2021.1948942
781,10.1080/15481603.2021.1935128
782,10.1103/PhysRevB.103.224407
783,10.3390/insects12060556
784,10.1093/tas/txab041
785,10.3390/en14051367
786,10.1016/j.scitotenv.2021.145191
787,10.1186/s12864-021-08147-3
788,10.1017/S147474642000041X
789,10.1016/j.vetmic.2021.109162
790,10.1371/journal.ppat.1009590
791,10.1002/chem.202101146
792,10.1002/jsfa.11229
793,10.3389/fvets.2021.580396
794,10.1016/j.ijrefrig.2021.01.018
795,10.1002/agr.21694
796,10.1016/j.nanoen.2020.105441
797,10.1371/journal.pone.0261528
798,10.1016/j.jhtm.2021.10.014
799,10.1007/s12274-021-3660-0
800,10.1021/acs.organomet.1c00162
801,10.1016/j.childyouth.2021.106023
802,10.1007/s11528-020-00573-6
803,10.1109/TMAG.2020.3008554
804,10.1007/s11665-021-06062-y
805,10.17775/CSEEJPES.2020.04500
806,10.1002/jms.4709
807,10.1080/23249676.2021.1884614
808,10.1109/TMAG.2021.3103644
809,10.3389/fenrg.2021.682609
810,10.1016/j.actbio.2021.06.009
811,10.1144/geochem2020-048
812,10.1039/d1me00157d
813,10.1016/j.jocs.2021.101504
814,10.1063/5.0066061
815,10.1021/acssensors.1c01477
816,10.1186/s12874-021-01384-w
817,10.1063/5.0056916
818,10.1016/j.foodcont.2021.108381
819,10.3791/62683
820,10.1016/j.jevs.2020.103361
821,10.3389/fvets.2020.567886
822,10.1139/cjas-2020-0077
823,10.1088/2399-6528/ac3c32
824,10.1016/j.conbuildmat.2021.125402
825,10.1016/j.jevs.2021.103728
826,10.1128/JCM.01757-20
827,10.1016/j.ic.2021.104746
828,10.1021/acs.jctc.1c00389
829,10.1109/TEM.2021.3083513
830,10.1093/nargab/lqab043
831,10.1038/s41598-021-89779-z
832,10.1016/j.dam.2021.01.002
833,10.1016/j.powtec.2020.12.002
834,10.1016/j.agee.2021.107723
